Function,Dimension,Accuracy,ps_vs_gb,ps_vs_ib,ib_vs_gb
f1,d30,0.51,NA,NA,-
f1,d30,0.52,NA,NA,+
f1,d30,0.53,NA,NA,+
f1,d30,0.54,NA,NA,+
f1,d30,0.55,NA,NA,+
f1,d30,0.56,NA,NA,+
f1,d30,0.57,NA,NA,N
f1,d30,0.58,NA,NA,N
f1,d30,0.59,NA,NA,N
f1,d30,0.91,-,NA,NA
f1,d30,0.92,-,NA,NA
f1,d30,0.93,-,NA,NA
f1,d30,0.94,-,NA,NA
f1,d30,0.95,-,NA,NA
f1,d30,0.96,-,NA,NA
f1,d30,0.97,-,NA,NA
f1,d30,0.98,-,NA,NA
f1,d30,0.99,-,NA,NA
f13,d30,0.51,NA,NA,-
f13,d30,0.52,NA,NA,N
f13,d30,0.53,NA,NA,N
f13,d30,0.54,NA,NA,N
f13,d30,0.55,NA,NA,-
f13,d30,0.56,NA,NA,-
f13,d30,0.57,NA,NA,-
f13,d30,0.58,NA,NA,-
f13,d30,0.59,NA,NA,-
f13,d30,0.91,-,NA,NA
f13,d30,0.92,-,NA,NA
f13,d30,0.93,-,NA,NA
f13,d30,0.94,-,NA,NA
f13,d30,0.95,-,NA,NA
f13,d30,0.96,-,NA,NA
f13,d30,0.97,-,NA,NA
f13,d30,0.98,-,NA,NA
f13,d30,0.99,-,NA,NA
f15,d30,0.51,NA,NA,+
f15,d30,0.52,NA,NA,+
f15,d30,0.53,NA,NA,N
f15,d30,0.54,NA,NA,N
f15,d30,0.55,NA,NA,N
f15,d30,0.56,NA,NA,N
f15,d30,0.57,NA,NA,N
f15,d30,0.58,NA,NA,N
f15,d30,0.59,NA,NA,N
f15,d30,0.91,N,NA,NA
f15,d30,0.92,+,NA,NA
f15,d30,0.93,+,NA,NA
f15,d30,0.94,+,NA,NA
f15,d30,0.95,N,NA,NA
f15,d30,0.96,+,NA,NA
f15,d30,0.97,+,NA,NA
f15,d30,0.98,+,NA,NA
f15,d30,0.99,+,NA,NA
f2,d30,0.51,NA,NA,N
f2,d30,0.52,NA,NA,N
f2,d30,0.53,NA,NA,N
f2,d30,0.54,NA,NA,-
f2,d30,0.55,NA,NA,-
f2,d30,0.56,NA,NA,-
f2,d30,0.57,NA,NA,-
f2,d30,0.58,NA,NA,-
f2,d30,0.59,NA,NA,-
f2,d30,0.91,-,NA,NA
f2,d30,0.92,-,NA,NA
f2,d30,0.93,-,NA,NA
f2,d30,0.94,-,NA,NA
f2,d30,0.95,-,NA,NA
f2,d30,0.96,-,NA,NA
f2,d30,0.97,-,NA,NA
f2,d30,0.98,-,NA,NA
f2,d30,0.99,-,NA,NA
f4,d30,0.51,NA,NA,-
f4,d30,0.52,NA,NA,-
f4,d30,0.53,NA,NA,-
f4,d30,0.54,NA,NA,-
f4,d30,0.55,NA,NA,-
f4,d30,0.56,NA,NA,-
f4,d30,0.57,NA,NA,-
f4,d30,0.58,NA,NA,-
f4,d30,0.59,NA,NA,-
f4,d30,0.91,-,NA,NA
f4,d30,0.92,-,NA,NA
f4,d30,0.93,-,NA,NA
f4,d30,0.94,-,NA,NA
f4,d30,0.95,-,NA,NA
f4,d30,0.96,-,NA,NA
f4,d30,0.97,-,NA,NA
f4,d30,0.98,-,NA,NA
f4,d30,0.99,-,NA,NA
f8,d30,0.51,NA,NA,N
f8,d30,0.52,NA,NA,+
f8,d30,0.53,NA,NA,+
f8,d30,0.54,NA,NA,+
f8,d30,0.55,NA,NA,N
f8,d30,0.56,NA,NA,+
f8,d30,0.57,NA,NA,-
f8,d30,0.58,NA,NA,N
f8,d30,0.59,NA,NA,N
f8,d30,0.91,-,NA,NA
f8,d30,0.92,-,NA,NA
f8,d30,0.93,-,NA,NA
f8,d30,0.94,-,NA,NA
f8,d30,0.95,N,NA,NA
f8,d30,0.96,-,NA,NA
f8,d30,0.97,-,NA,NA
f8,d30,0.98,-,NA,NA
f8,d30,0.99,N,NA,NA
