Function,Dimension,Accuracy,P-Value
f1,d30,0.51,5.322844918751244e-08
f1,d30,0.52,0.9766041923269998
f1,d30,0.53,0.9997185482200529
f1,d30,0.54,0.9998627446078584
f1,d30,0.55,0.99428358534578
f1,d30,0.56,0.9545463083746868
f1,d30,0.57,0.4730419883125112
f1,d30,0.58,0.8748516012482441
f1,d30,0.59,0.8029145450241775
f2,d30,0.51,0.26249345509518074
f2,d30,0.52,0.14883837723609017
f2,d30,0.53,0.05086431570750303
f2,d30,0.54,0.0009325710093033207
f2,d30,0.55,0.0001779603907921082
f2,d30,0.56,6.2525818514871214e-06
f2,d30,0.57,5.236370832603736e-07
f2,d30,0.58,2.2694860940934735e-07
f2,d30,0.59,3.397807564086679e-08
f4,d30,0.51,9.588559761687298e-08
f4,d30,0.52,8.285396466929393e-08
f4,d30,0.53,3.397807564086679e-08
f4,d30,0.54,4.586386355828241e-08
f4,d30,0.55,3.9490168333373314e-08
f4,d30,0.56,3.397807564086679e-08
f4,d30,0.57,3.9490168333373314e-08
f4,d30,0.58,3.397807564086679e-08
f4,d30,0.59,3.397807564086679e-08
f8,d30,0.51,0.9400722170203761
f8,d30,0.52,0.9999988221704319
f8,d30,0.53,0.9994420263824115
f8,d30,0.54,0.9922606987785807
f8,d30,0.55,0.8103340324363439
f8,d30,0.56,0.9780598077693896
f8,d30,0.57,0.008334399412137733
f8,d30,0.58,0.189665967563656
f8,d30,0.59,0.37787141381795475
f13,d30,0.51,8.037647084896189e-05
f13,d30,0.52,0.6916209154555859
f13,d30,0.53,0.5484417520052178
f13,d30,0.54,0.56447439663118
f13,d30,0.55,0.01742466064575587
f13,d30,0.56,0.03097654968170434
f13,d30,0.57,0.016850496667796425
f13,d30,0.58,9.971548235038553e-05
f13,d30,0.59,3.305223244351078e-05
f15,d30,0.51,0.9999999707854003
f15,d30,0.52,0.9999608424087173
f15,d30,0.53,0.5053955476044402
f15,d30,0.54,0.6425100592672008
f15,d30,0.55,0.7103997220004812
f15,d30,0.56,0.08596485271913673
f15,d30,0.57,0.5269580116874888
f15,d30,0.58,0.05375567984800283
f15,d30,0.59,0.8856637380125998
