Function,Dimension,Accuracy,P-Value
f1,d30,0.91,1.0203569548122288e-05
f1,d30,0.92,4.563323315096952e-07
f1,d30,0.93,1.969402736433294e-07
f1,d30,0.94,3.305223244351078e-05
f1,d30,0.95,6.470266794576774e-05
f1,d30,0.96,1.1512354940556314e-05
f1,d30,0.97,2.3402016193169243e-05
f1,d30,0.98,4.298722408785759e-06
f1,d30,0.99,0.0006742912181584323
f2,d30,0.91,3.397807564086679e-08
f2,d30,0.92,3.397807564086679e-08
f2,d30,0.93,3.397807564086679e-08
f2,d30,0.94,3.397807564086679e-08
f2,d30,0.95,3.397807564086679e-08
f2,d30,0.96,3.397807564086679e-08
f2,d30,0.97,3.397807564086679e-08
f2,d30,0.98,3.397807564086679e-08
f2,d30,0.99,3.9490168333373314e-08
f4,d30,0.91,3.397807564086679e-08
f4,d30,0.92,3.397807564086679e-08
f4,d30,0.93,3.397807564086679e-08
f4,d30,0.94,3.397807564086679e-08
f4,d30,0.95,3.397807564086679e-08
f4,d30,0.96,3.397807564086679e-08
f4,d30,0.97,3.397807564086679e-08
f4,d30,0.98,3.397807564086679e-08
f4,d30,0.99,3.397807564086679e-08
f8,d30,0.91,8.968189264473124e-05
f8,d30,0.92,0.00013725539214159193
f8,d30,0.93,0.00037894053495968286
f8,d30,0.94,0.0016680896523782024
f8,d30,0.95,0.189665967563656
f8,d30,0.96,0.003413823668022118
f8,d30,0.97,0.0013993010954535402
f8,d30,0.98,0.006660258011799982
f8,d30,0.99,0.18965478936246422
f13,d30,0.91,4.5484709631082675e-08
f13,d30,0.92,2.996480456390057e-07
f13,d30,0.93,4.9007015128920954e-08
f13,d30,0.94,2.746051411777717e-06
f13,d30,0.95,1.0296642075552792e-06
f13,d30,0.96,0.00017750554822147015
f13,d30,0.97,4.860229414384474e-07
f13,d30,0.98,2.107819344951715e-06
f13,d30,0.99,5.843455002343627e-06
f15,d30,0.91,0.949135684292497
f15,d30,0.92,0.9699446791185556
f15,d30,0.93,0.9999195093301704
f15,d30,0.94,0.9708606096494085
f15,d30,0.95,0.7375065449048193
f15,d30,0.96,0.9981813802880716
f15,d30,0.97,0.9998764693493388
f15,d30,0.98,0.9999986551156552
f15,d30,0.99,0.9997582988567175
