Function,Dimension,Accuracy,P-Value
f1,d30,0.51,0.9999999541361364
f1,d30,0.52,0.024931845105270245
f1,d30,0.53,0.0003109987933734979
f1,d30,0.54,0.00015239945835147264
f1,d30,0.55,0.006172372879308558
f1,d30,0.56,0.048098148124597825
f1,d30,0.57,0.5377136358338882
f1,d30,0.58,0.1308082339392887
f1,d30,0.59,0.20467792787108702
f2,d30,0.51,0.7462473510190439
f2,d30,0.52,0.857347642046156
f2,d30,0.53,0.9519018518754022
f2,d30,0.54,0.9991493523309002
f2,d30,0.55,0.9998395587537344
f2,d30,0.56,0.9999944776439417
f2,d30,0.57,0.9999995436676685
f2,d30,0.58,0.9999998030597264
f2,d30,0.59,0.9999999707854003
f4,d30,0.51,0.9999999171460353
f4,d30,0.52,0.9999999284573438
f4,d30,0.53,0.9999999707854003
f4,d30,0.54,0.9999999605098316
f4,d30,0.55,0.9999999660219243
f4,d30,0.56,0.9999999707854003
f4,d30,0.57,0.9999999660219243
f4,d30,0.58,0.9999999707854003
f4,d30,0.59,0.9999999707854003
f8,d30,0.51,0.06321530868338407
f8,d30,0.52,1.34488434472952e-06
f8,d30,0.53,0.0006135915169981945
f8,d30,0.54,0.008334399412137733
f8,d30,0.55,0.19708545497582258
f8,d30,0.56,0.023395807673000243
f8,d30,0.57,0.9922606987785807
f8,d30,0.58,0.8175791726956705
f8,d30,0.59,0.6323659235362533
f13,d30,0.51,0.9999279125380578
f13,d30,0.52,0.31796435605619017
f13,d30,0.53,0.4622863641661118
f13,d30,0.54,0.44619940706684363
f13,d30,0.55,0.983707409375983
f13,d30,0.56,0.9708665092064714
f13,d30,0.57,0.9842494186684058
f13,d30,0.58,0.9999104436273357
f13,d30,0.59,0.9999705204139104
f15,d30,0.51,3.397807564086679e-08
f15,d30,0.52,4.382710860813395e-05
f15,d30,0.53,0.5053955476044402
f15,d30,0.54,0.36763407646374663
f15,d30,0.55,0.29892269483221195
f15,d30,0.56,0.918202137194434
f15,d30,0.57,0.48381730418560565
f15,d30,0.58,0.949135684292497
f15,d30,0.59,0.11965083271389804
