Function,Dimension,Accuracy,P-Value
f1,d30,0.91,0.9999909627611305
f1,d30,0.92,0.9999996026026046
f1,d30,0.93,0.9999998292212153
f1,d30,0.94,0.9999705204139104
f1,d30,0.95,0.9999420494292661
f1,d30,0.96,0.9999897964304518
f1,d30,0.97,0.9999791711982436
f1,d30,0.98,0.9999962113094701
f1,d30,0.99,0.9993864084830018
f2,d30,0.91,0.9999999707854003
f2,d30,0.92,0.9999999707854003
f2,d30,0.93,0.9999999707854003
f2,d30,0.94,0.9999999707854003
f2,d30,0.95,0.9999999707854003
f2,d30,0.96,0.9999999707854003
f2,d30,0.97,0.9999999707854003
f2,d30,0.98,0.9999999707854003
f2,d30,0.99,0.9999999660219243
f4,d30,0.91,0.9999999707854003
f4,d30,0.92,0.9999999707854003
f4,d30,0.93,0.9999999707854003
f4,d30,0.94,0.9999999707854003
f4,d30,0.95,0.9999999707854003
f4,d30,0.96,0.9999999707854003
f4,d30,0.97,0.9999999707854003
f4,d30,0.98,0.9999999707854003
f4,d30,0.99,0.9999999707854003
f8,d30,0.91,0.9999195093301704
f8,d30,0.92,0.9998764693493388
f8,d30,0.93,0.9996565889058983
f8,d30,0.94,0.9984716853859126
f8,d30,0.95,0.8175791726956705
f8,d30,0.96,0.9968542304018518
f8,d30,0.97,0.9987196923564277
f8,d30,0.98,0.9938276271206914
f8,d30,0.99,0.8175904199432034
f13,d30,0.91,0.9999999608394957
f13,d30,0.92,0.9999997396144622
f13,d30,0.93,0.9999999577919354
f13,d30,0.94,0.9999975857954334
f13,d30,0.95,0.9999990995179707
f13,d30,0.96,0.9998399746850163
f13,d30,0.97,0.9999995766232932
f13,d30,0.98,0.9999981496393867
f13,d30,0.99,0.999994841148014
f15,d30,0.91,0.05375567984800283
f15,d30,0.92,0.03194611746355802
f15,d30,0.93,8.968189264473124e-05
f15,d30,0.94,0.030982668379845816
f15,d30,0.95,0.2713858507585034
f15,d30,0.96,0.001982269284296169
f15,d30,0.97,0.00013725539214159193
f15,d30,0.98,1.5345504609285516e-06
f15,d30,0.99,0.0002673561342566403
