group1,group2,f1_d10,f2_d10,f4_d10,f8_d10,f13_d10,f15_d10,f1_d30,f2_d30,f4_d30,f8_d30,f13_d30,f15_d30
sp0.50,sp0.60,False,False,False,True,False,False,True,False,True,False,True,True
sp0.50,sp0.70,False,False,True,True,False,False,True,False,True,True,True,True
sp0.50,sp0.80,False,False,True,True,False,False,True,False,True,True,True,True
sp0.50,sp0.90,False,False,True,True,True,False,True,False,True,True,True,True
sp0.50,sp1.00,False,False,True,True,True,True,True,False,True,True,True,True
nos,sp0.50,False,False,True,True,False,False,True,False,False,True,False,True
sp0.60,sp0.70,False,False,False,False,False,False,True,False,False,False,False,False
sp0.60,sp0.80,False,False,False,False,False,False,True,False,False,False,False,False
sp0.60,sp0.90,False,False,False,False,True,False,True,False,True,False,False,False
sp0.60,sp1.00,False,False,False,False,True,False,True,False,False,False,True,False
nos,sp0.60,False,False,True,True,False,False,True,True,True,True,True,True
sp0.70,sp0.80,False,False,False,False,False,False,False,False,False,False,False,False
sp0.70,sp0.90,False,False,True,False,False,False,False,False,True,False,False,False
sp0.70,sp1.00,False,False,False,False,False,False,False,False,False,False,False,True
nos,sp0.70,False,False,True,True,True,False,True,True,True,True,True,True
sp0.80,sp0.90,False,False,False,False,False,False,False,False,True,False,False,False
sp0.80,sp1.00,False,False,False,False,False,False,False,False,False,False,False,False
nos,sp0.80,False,False,True,True,False,False,True,True,True,True,True,True
sp0.90,sp1.00,False,False,False,False,False,False,False,False,False,False,False,True
nos,sp0.90,False,False,True,True,True,False,True,True,True,True,True,True
nos,sp1.00,False,False,True,True,True,False,True,True,True,True,True,True
