group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-21239426.3162,0.1451,-49836298.4789,7357445.8466,False
sp0.50,sp0.70,-35576405.2833,0.0057,-60752043.2359,-10400767.3307,True
sp0.50,sp0.80,-40029764.7348,0.0012,-64091158.1351,-15968371.3345,True
sp0.50,sp0.90,-39259453.4947,0.0016,-63532825.3705,-14986081.619,True
sp0.50,sp1.00,-42025471.1847,0.0006,-65881995.6141,-18168946.7553,True
sp0.60,sp0.70,-14336978.9672,0.1301,-32915337.6072,4241379.6728,False
sp0.60,sp0.80,-18790338.4186,0.0307,-35828334.6565,-1752342.1807,True
sp0.60,sp0.90,-18020027.1786,0.0417,-35356094.9465,-683959.4106,True
sp0.60,sp1.00,-20786044.8685,0.0151,-37533475.1576,-4038614.5794,True
sp0.70,sp0.80,-4453359.4514,0.3965,-14764759.1929,5858040.29,False
sp0.70,sp0.90,-3683048.2114,0.503,-14479848.4078,7113751.985,False
sp0.70,sp1.00,-6449065.9013,0.1977,-16272918.0029,3374786.2003,False
sp0.80,sp0.90,770311.24,0.8473,-7085183.6855,8625806.1656,False
sp0.80,sp1.00,-1995706.4499,0.5437,-8449075.8147,4457662.9149,False
sp0.90,sp1.00,-2766017.69,0.451,-9969621.3723,4437585.9924,False
