Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.9999999707854003
f1,d10,0.60,3.397807564086679e-08
f1,d10,0.70,3.397807564086679e-08
f1,d10,0.80,3.9490168333373314e-08
f1,d10,0.90,0.07778496629387124
f1,d10,1.00,0.05992778297962383
f1,d30,0.50,0.9999999707854003
f1,d30,0.60,9.588559761687298e-08
f1,d30,0.70,3.397807564086679e-08
f1,d30,0.80,3.397807564086679e-08
f1,d30,0.90,9.037238869417781e-06
f1,d30,1.00,2.3402016193169243e-05
f2,d10,0.50,0.9670785979999781
f2,d10,0.60,3.0073985026600743e-07
f2,d10,0.70,3.397807564086679e-08
f2,d10,0.80,3.397807564086679e-08
f2,d10,0.90,3.397807564086679e-08
f2,d10,1.00,0.9999999605098316
f2,d30,0.50,0.004345422525631338
f2,d30,0.60,3.397807564086679e-08
f2,d30,0.70,3.397807564086679e-08
f2,d30,0.80,3.397807564086679e-08
f2,d30,0.90,3.397807564086679e-08
f2,d30,1.00,0.9999999707854003
f4,d10,0.50,0.9999999707854003
f4,d10,0.60,3.17900213024822e-08
f4,d10,0.70,3.2382609592080143e-08
f4,d10,0.80,2.5121802258212632e-08
f4,d10,0.90,2.0650135370884132e-08
f4,d10,1.00,2.0650135370884132e-08
f4,d30,0.50,0.9999999707854003
f4,d30,0.60,3.397807564086679e-08
f4,d30,0.70,3.397807564086679e-08
f4,d30,0.80,3.397807564086679e-08
f4,d30,0.90,3.397807564086679e-08
f4,d30,1.00,3.397807564086679e-08
f8,d10,0.50,0.9999999708269713
f8,d10,0.60,3.373924868679957e-08
f8,d10,0.70,4.238453363884349e-08
f8,d10,0.80,3.9380013804372404e-08
f8,d10,0.90,2.577636922907691e-06
f8,d10,1.00,0.9940674361926732
f8,d30,0.50,0.9999999707854003
f8,d30,0.60,1.1088821650461217e-07
f8,d30,0.70,1.969402736433294e-07
f8,d30,0.80,9.014845860541547e-07
f8,d30,0.90,2.9456033353611282e-05
f8,d30,1.00,0.9708606096494085
f13,d10,0.50,0.9999999708684908
f13,d10,0.60,2.0959714619579388e-07
f13,d10,0.70,1.8355515520490607e-07
f13,d10,0.80,1.2155513035683838e-07
f13,d10,0.90,1.612040082587049e-05
f13,d10,1.00,8.344999250408611e-05
f13,d30,0.50,0.9999999707854003
f13,d30,0.60,3.397807564086679e-08
f13,d30,0.70,3.3930193083693134e-08
f13,d30,0.80,3.3691658744856235e-08
f13,d30,0.90,7.668969319568303e-08
f13,d30,1.00,0.0010182128372974277
f15,d10,0.50,0.9999994763629168
f15,d10,0.60,0.005716414654220047
f15,d10,0.70,0.001068084110487362
f15,d10,0.80,0.0007393468111716983
f15,d10,0.90,0.22035350507268658
f15,d10,1.00,0.9999354858416831
f15,d30,0.50,0.9999999708269713
f15,d30,0.60,3.397807564086679e-08
f15,d30,0.70,3.3930193083693134e-08
f15,d30,0.80,1.34488434472952e-06
f15,d30,0.90,0.253752648980956
f15,d30,1.00,0.9999996992601498
