Function,Dimension,Accuracy,P-Value
f1,d10,0.50,3.397807564086679e-08
f1,d10,0.60,0.9999999707854003
f1,d10,0.70,0.9999999707854003
f1,d10,0.80,0.9999999660219243
f1,d10,0.90,0.9260767086428191
f1,d10,1.00,0.9432243035082798
f1,d30,0.50,3.397807564086679e-08
f1,d30,0.60,0.9999999171460353
f1,d30,0.70,0.9999999707854003
f1,d30,0.80,0.9999999707854003
f1,d30,0.90,0.9999920013823769
f1,d30,1.00,0.9999791711982436
f2,d10,0.50,0.03495904290201198
f2,d10,0.60,0.9999997386557339
f2,d10,0.70,0.9999999707854003
f2,d10,0.80,0.9999999707854003
f2,d10,0.90,0.9999999707854003
f2,d10,1.00,4.586386355828241e-08
f2,d30,0.50,0.995987700851307
f2,d30,0.60,0.9999999707854003
f2,d30,0.70,0.9999999707854003
f2,d30,0.80,0.9999999707854003
f2,d30,0.90,0.9999999707854003
f2,d30,1.00,3.397807564086679e-08
f4,d10,0.50,3.397807564086679e-08
f4,d10,0.60,0.9999999726844447
f4,d10,0.70,0.9999999721702508
f4,d10,0.80,0.9999999784636268
f4,d10,0.90,0.9999999823309224
f4,d10,1.00,0.9999999823309224
f4,d30,0.50,3.397807564086679e-08
f4,d30,0.60,0.9999999707854003
f4,d30,0.70,0.9999999707854003
f4,d30,0.80,0.9999999707854003
f4,d30,0.90,0.9999999707854003
f4,d30,1.00,0.9999999707854003
f8,d10,0.50,3.3930193083693134e-08
f8,d10,0.60,0.9999999709927411
f8,d10,0.70,0.9999999635200948
f8,d10,0.80,0.9999999661176309
f8,d10,0.90,0.9999977346291998
f8,d10,1.00,0.006403793094642051
f8,d30,0.50,3.397807564086679e-08
f8,d30,0.60,0.9999999041144024
f8,d30,0.70,0.9999998292212153
f8,d30,0.80,0.9999992121628901
f8,d30,0.90,0.9999737464919818
f8,d30,1.00,0.030982668379845816
f13,d10,0.50,3.38823691698822e-08
f13,d10,0.60,0.9999998181977159
f13,d10,0.70,0.9999998409440987
f13,d10,0.80,0.9999998949534068
f13,d10,0.90,0.9999856915679224
f13,d10,1.00,0.9999252061339547
f13,d30,0.50,3.397807564086679e-08
f13,d30,0.60,0.9999999707854003
f13,d30,0.70,0.9999999708269713
f13,d30,0.80,0.9999999710340551
f13,d30,0.90,0.9999999338062131
f13,d30,1.00,0.9990706513824292
f15,d10,0.50,6.004440969211716e-07
f15,d10,0.60,0.9947093942784172
f15,d10,0.70,0.9990247611958387
f15,d10,0.80,0.9993267650171331
f15,d10,0.90,0.787579986130881
f15,d10,1.00,7.198375566817851e-05
f15,d30,0.50,3.3930193083693134e-08
f15,d30,0.60,0.9999999707854003
f15,d30,0.70,0.9999999708269713
f15,d30,0.80,0.9999988221704319
f15,d30,0.90,0.7548328677452447
f15,d30,1.00,3.458291744038558e-07
