Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.9999909627611305
f1,d10,0.60,0.9999986551156552
f1,d10,0.70,0.9999980063205519
f1,d10,0.80,0.9999897964304518
f1,d10,0.90,0.7103908238432916
f1,d10,1.00,0.4730419883125112
f1,d30,0.50,0.9999999707854003
f1,d30,0.60,0.9999996026026046
f1,d30,0.70,0.9999993119691806
f1,d30,0.80,0.9999814744201472
f1,d30,0.90,0.19708545497582258
f1,d30,1.00,7.998617623172388e-06
f2,d10,0.50,0.8748516012482441
f2,d10,0.60,0.21242001386911896
f2,d10,0.70,0.022653096930965715
f2,d10,0.80,0.007181923800568205
f2,d10,0.90,0.004177413667822258
f2,d10,1.00,3.397807564086679e-08
f2,d30,0.50,0.5750944698206617
f2,d30,0.60,0.8175791726956705
f2,d30,0.70,0.019895923809076274
f2,d30,0.80,0.003855902508968483
f2,d30,0.90,0.005716414654220047
f2,d30,1.00,3.397807564086679e-08
f4,d10,0.50,0.9999999707854003
f4,d10,0.60,0.9999999707854003
f4,d10,0.70,0.9999999707854003
f4,d10,0.80,0.9999999707854003
f4,d10,0.90,0.9999999284573438
f4,d10,1.00,3.397807564086679e-08
f4,d30,0.50,0.9999996992601498
f4,d30,0.60,0.9999999382682492
f4,d30,0.70,0.9999998520123133
f4,d30,0.80,0.9999999284573438
f4,d30,0.90,0.9999999467715508
f4,d30,1.00,3.397807564086679e-08
f8,d10,0.50,0.9999988260113315
f8,d10,0.60,0.9999966764275385
f8,d10,0.70,0.9998556433821786
f8,d10,0.80,0.9925510313784152
f8,d10,0.90,0.6575513275479196
f8,d10,1.00,5.243194748976489e-08
f8,d30,0.50,0.9999999707854003
f8,d30,0.60,0.9999999171460353
f8,d30,0.70,0.9999909627611305
f8,d30,0.80,0.8633574399094623
f8,d30,0.90,0.0005070493426080219
f8,d30,1.00,1.1088821650461217e-07
f13,d10,0.50,0.9999938000283187
f13,d10,0.60,0.9814257395596979
f13,d10,0.70,0.6119274597819442
f13,d10,0.80,0.009954579816582267
f13,d10,0.90,0.0009685581915713315
f13,d10,1.00,2.226001673887048e-06
f13,d30,0.50,0.9999998030597264
f13,d30,0.60,0.9999998292212153
f13,d30,0.70,0.9999001466624817
f13,d30,0.80,0.4784266642654188
f13,d30,0.90,0.001818619711928459
f13,d30,1.00,1.7034775387937207e-07
f15,d10,0.50,0.963977284766328
f15,d10,0.60,0.8633574399094623
f15,d10,0.70,0.4196123873704464
f15,d10,0.80,0.022653096930965715
f15,d10,0.90,0.00032549292865486804
f15,d10,1.00,3.330193713817101e-06
f15,d30,0.50,0.9999999708269713
f15,d30,0.60,0.9999999708269713
f15,d30,0.70,0.99999994684439
f15,d30,0.80,0.9876243636352232
f15,d30,0.90,0.0008911877687527205
f15,d30,1.00,3.397807564086679e-08
