Function,Dimension,Accuracy,P-Value
f1,d10,0.50,3.397807564086679e-08
f1,d10,0.60,3.397807564086679e-08
f1,d10,0.70,0.9999999707854003
f1,d10,0.80,0.9999999660219243
f1,d10,0.90,0.9519018518754022
f1,d10,1.00,0.8748516012482441
f1,d30,0.50,3.397807564086679e-08
f1,d30,0.60,3.397807564086679e-08
f1,d30,0.70,0.9999999707854003
f1,d30,0.80,0.9999999707854003
f1,d30,0.90,0.9999999707854003
f1,d30,1.00,0.8103340324363439
f2,d10,0.50,0.12237248175806686
f2,d10,0.60,0.8281290187363578
f2,d10,0.70,0.9780697066671596
f2,d10,0.80,0.006172372879308558
f2,d10,0.90,9.98533375183012e-05
f2,d10,1.00,4.586386355828241e-08
f2,d30,0.50,0.7195925326587469
f2,d30,0.60,0.99672140367736
f2,d30,0.70,0.3985987096345874
f2,d30,0.80,0.9140351472808632
f2,d30,0.90,0.31797227556722774
f2,d30,1.00,3.397807564086679e-08
f4,d10,0.50,3.9490168333373314e-08
f4,d10,0.60,1.707787846751859e-07
f4,d10,0.70,6.880308194350132e-07
f4,d10,0.80,0.9999999708684908
f4,d10,0.90,0.9999999711165298
f4,d10,1.00,0.999999989670609
f4,d30,0.50,6.173175077478352e-08
f4,d30,0.60,1.9936794480783176e-06
f4,d30,0.70,1.34488434472952e-06
f4,d30,0.80,0.9999999707854003
f4,d30,0.90,0.9999999707854003
f4,d30,1.00,0.9999999707854003
f8,d10,0.50,3.3930193083693134e-08
f8,d10,0.60,3.3930193083693134e-08
f8,d10,0.70,0.9999999543892086
f8,d10,0.80,0.9999999467715508
f8,d10,0.90,0.9999981379675563
f8,d10,1.00,0.0066472736430855245
f8,d30,0.50,3.397807564086679e-08
f8,d30,0.60,3.397807564086679e-08
f8,d30,0.70,0.9999999708269713
f8,d30,0.80,0.48381730418560565
f8,d30,0.90,0.99428358534578
f8,d30,1.00,0.02492648140230176
f13,d10,0.50,3.38823691698822e-08
f13,d10,0.60,5.678322038706988e-08
f13,d10,0.70,0.9999997008327037
f13,d10,0.80,0.9999006531939992
f13,d10,0.90,0.9990920968324215
f13,d10,1.00,0.9988803012931438
f13,d30,0.50,3.397807564086679e-08
f13,d30,0.60,3.3930193083693134e-08
f13,d30,0.70,0.9999999966291273
f13,d30,0.80,0.9999999732674489
f13,d30,0.90,0.9999999712398586
f13,d30,1.00,0.9997345757997521
f15,d10,0.50,0.40907473069409994
f15,d10,0.60,1.3434372259201856e-06
f15,d10,0.70,0.028252477598256064
f15,d10,0.80,1.9628771731724876e-05
f15,d10,0.90,0.0004829667197260593
f15,d10,1.00,9.944019220773505e-05
f15,d30,0.50,3.3930193083693134e-08
f15,d30,0.60,3.397807564086679e-08
f15,d30,0.70,0.9999999708269713
f15,d30,0.80,0.9333584146253401
f15,d30,0.90,0.16172952478077895
f15,d30,1.00,3.7032013658142644e-05
