Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.9999999707854003
f1,d10,0.60,0.9999999707854003
f1,d10,0.70,0.9999999707854003
f1,d10,0.80,0.9999995436676685
f1,d10,0.90,0.9999870200798021
f1,d10,1.00,0.4730419883125112
f1,d30,0.50,0.9999999707854003
f1,d30,0.60,0.9999999707854003
f1,d30,0.70,0.9999999707854003
f1,d30,0.80,0.9999999707854003
f1,d30,0.90,0.9999996541708256
f1,d30,1.00,0.9999929256014958
f2,d10,0.50,0.4946044523955598
f2,d10,0.60,0.07203882911561908
f2,d10,0.70,0.5377171636355236
f2,d10,0.80,0.2804258483001151
f2,d10,0.90,0.9097113115957673
f2,d10,1.00,0.9999999707854003
f2,d30,0.50,0.03709907048461763
f2,d30,0.60,0.023395807673000243
f2,d30,0.70,0.5377136358338882
f2,d30,0.80,0.23674031388610284
f2,d30,0.90,0.9750681548947298
f2,d30,1.00,0.9999999707854003
f4,d10,0.50,0.9999585379161275
f4,d10,0.60,0.9999944776439417
f4,d10,0.70,0.9999994002457109
f4,d10,0.80,0.9989303693021323
f4,d10,0.90,5.795057073386002e-05
f4,d10,1.00,0.9999999707854003
f4,d30,0.50,0.9999999541361364
f4,d30,0.60,0.9999999707854003
f4,d30,0.70,0.9999993995559031
f4,d30,0.80,0.9999962113094701
f4,d30,0.90,0.9995821415891364
f4,d30,1.00,0.9999999707854003
f8,d10,0.50,0.9999999708269713
f8,d10,0.60,0.9999999708269713
f8,d10,0.70,0.9999056237161695
f8,d10,0.80,0.8176016683402978
f8,d10,0.90,0.6868602507671592
f8,d10,1.00,0.9999999708269713
f8,d30,0.50,0.9999999707854003
f8,d30,0.60,0.9999999707854003
f8,d30,0.70,0.9999999707854003
f8,d30,0.80,0.9999999660219243
f8,d30,0.90,0.9999998718527068
f8,d30,1.00,0.9999999041144024
f13,d10,0.50,0.999999970909959
f13,d10,0.60,0.9999999709927411
f13,d10,0.70,0.9999999438335968
f13,d10,0.80,0.9999980249269909
f13,d10,0.90,0.9999993630523807
f13,d10,1.00,0.9999899144864646
f13,d30,0.50,0.9999999707854003
f13,d30,0.60,0.9999999707854003
f13,d30,0.70,0.9999999541361364
f13,d30,0.80,0.9999999708269713
f13,d30,0.90,0.9999995436676685
f13,d30,1.00,0.9999998523896602
f15,d10,0.50,0.6118047472247434
f15,d10,0.60,0.9999452115376759
f15,d10,0.70,0.9999585697818589
f15,d10,0.80,0.9999993127511442
f15,d10,0.90,0.9999103181073553
f15,d10,1.00,0.9999991005195968
f15,d30,0.50,0.9999999708269713
f15,d30,0.60,0.9999999708269713
f15,d30,0.70,0.9999999660698069
f15,d30,0.80,0.9999996992601498
f15,d30,0.90,0.9999999041144024
f15,d30,1.00,0.9999999707854003
