group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-121868525.4525,0.0279,-230421410.6215,-13315640.2835,True
sp0.50,sp0.70,-179005034.8523,0.0005,-278717170.7214,-79292898.9832,True
sp0.50,sp0.80,-210069289.3479,0.0,-307708114.2408,-112430464.4549,True
sp0.50,sp0.90,-225405202.6793,0.0,-322597849.4773,-128212555.8813,True
sp0.50,sp1.00,-228494512.2723,0.0,-325672612.8232,-131316411.7214,True
sp0.60,sp0.70,-57136509.3998,0.0361,-110542948.7028,-3730070.0968,True
sp0.60,sp0.80,-88200763.8954,0.0005,-137628264.8023,-38773262.9884,True
sp0.60,sp0.90,-103536677.2268,0.0,-152076849.3633,-54996505.0904,True
sp0.60,sp1.00,-106625986.8198,0.0,-155137026.245,-58114947.3945,True
sp0.70,sp0.80,-31064254.4956,0.0132,-55597069.3969,-6531439.5942,True
sp0.70,sp0.90,-46400167.827,0.0001,-69092225.2946,-23708110.3595,True
sp0.70,sp1.00,-49489477.42,0.0,-72119150.577,-26859804.2629,True
sp0.80,sp0.90,-15335913.3315,0.0035,-25619859.996,-5051966.667,True
sp0.80,sp1.00,-18425222.9244,0.0004,-28570773.3816,-8279672.4672,True
sp0.90,sp1.00,-3089309.5929,0.1298,-7089641.98,911022.7942,False
