,0.5,0.6,0.7,0.8,0.9,1
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,17566.04007,17566.04007,17566.04007,17566.04007,17566.04007,17566.04007
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,15631.09931,,,,12214.87109,
72,,12214.87109,,,,12214.87109
73,,,,12214.87109,,
74,,,12214.87109,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,6703.971486
88,,,,,,
89,15568.33325,,,6703.971486,6703.971486,
90,,,15568.33325,,,
91,,15568.33325,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,6703.971486
107,,,,,,
108,,,,,,
109,,,,6703.971486,,
110,15631.09931,,,,,
111,,10591.29351,,,6703.971486,
112,,,,,,
113,,,10591.29351,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,6703.971486
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,6703.971486,
133,,,,,,
134,,,,6703.971486,,
135,,,,,,
136,,,,,,
137,10910.424,8383.151122,10212.56725,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,6703.971486
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,6348.070334,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,5772.331232,,
157,,,,,,
158,,,,,,
159,,,5555.029756,,,
160,,,,,,
161,,,,,,
162,8526.701521,,,,,6382.403106
163,,7043.715071,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,6348.070334,
174,,,,,,
175,,,,,,
176,,,,,,6382.403106
177,,,,5772.331232,,
178,,,,,,
179,,,,,,
180,9807.599969,,5555.029756,,,
181,,7043.715071,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,4737.648051,
192,,,,,,
193,,,,,,3054.804348
194,,,,,,
