group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,2424.4762,0.4355,-3795.8109,8644.7633,False
sp0.50,sp0.70,2429.2571,0.3955,-3287.2057,8145.72,False
sp0.50,sp0.80,844.519,0.7839,-5337.7937,7026.8318,False
sp0.50,sp0.90,-1052.4286,0.7303,-7179.1351,5074.2779,False
sp0.50,sp1.00,-643.0048,0.8219,-6377.1276,5091.1181,False
sp0.60,sp0.70,4.781,0.9987,-5827.149,5836.7109,False
sp0.60,sp0.80,-1579.9571,0.6144,-7869.19,4709.2757,False
sp0.60,sp0.90,-3476.9048,0.2664,-9711.4851,2757.6756,False
sp0.60,sp1.00,-3067.481,0.2955,-8916.7223,2781.7604,False
sp0.70,sp0.80,-1584.7381,0.5833,-7376.1477,4206.6715,False
sp0.70,sp0.90,-3481.6857,0.2268,-9213.6983,2250.3268,False
sp0.70,sp1.00,-3072.2619,0.2492,-8382.5915,2238.0677,False
sp0.80,sp0.90,-1896.9476,0.5396,-8093.6411,4299.7459,False
sp0.80,sp1.00,-1487.5238,0.6076,-7296.3656,4321.318,False
sp0.90,sp1.00,409.4238,0.8863,-5340.201,6159.0486,False
