group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-200.4286,0.0016,-320.3033,-80.5539,True
sp0.50,sp0.70,-331.2124,0.0,-435.5898,-226.8349,True
sp0.50,sp0.80,-495.481,0.0,-604.2192,-386.7427,True
sp0.50,sp0.90,-786.9081,0.0,-880.3136,-693.5025,True
sp0.50,sp1.00,-1283.8429,0.0,-1368.4568,-1199.2289,True
sp0.60,sp0.70,-130.7838,0.0156,-235.4187,-26.1489,True
sp0.60,sp0.80,-295.0524,0.0,-404.0378,-186.067,True
sp0.60,sp0.90,-586.4795,0.0,-680.1727,-492.7863,True
sp0.60,sp1.00,-1083.4143,0.0,-1168.3456,-998.4829,True
sp0.70,sp0.80,-164.2686,0.0008,-255.9339,-72.6033,True
sp0.70,sp0.90,-455.6957,0.0,-528.5182,-382.8732,True
sp0.70,sp1.00,-952.6305,0.0,-1013.77,-891.4909,True
sp0.80,sp0.90,-291.4271,0.0,-370.3732,-212.4811,True
sp0.80,sp1.00,-788.3619,0.0,-856.6803,-720.0436,True
sp0.90,sp1.00,-496.9348,0.0,-536.5326,-457.3369,True
