Function,Dimension,Accuracy,P-Value,,,Function,Dimension,Accuracy,P-Value,
f1,d10,0.5,3.40E-08,+,,f1,d30,0.5,3.40E-08,+
f1,d10,0.6,3.40E-08,+,,f1,d30,0.6,3.40E-08,+
f1,d10,0.7,3.40E-08,+,,f1,d30,0.7,3.40E-08,+
f1,d10,0.8,5.24E-07,+,,f1,d30,0.8,3.40E-08,+
f1,d10,0.9,1.46E-05,+,,f1,d30,0.9,3.97E-07,+
f1,d10,1,0.537713636,=,,f1,d30,1,8.00E-06,+
,,,,,,,,,,
f2,d10,0.5,0.516182696,=,,f2,d30,0.5,0.965040957,=
f2,d10,0.6,0.931601433,=,,f2,d30,0.6,0.978059808,=
f2,d10,0.7,0.473039463,=,,f2,d30,0.7,0.473041988,=
f2,d10,0.8,0.728614149,=,,f2,d30,0.8,0.77152469,=
f2,d10,0.9,0.094771992,=,,f2,d30,0.9,0.026551562,+
f2,d10,1,3.40E-08,+,,f2,d30,1,3.40E-08,+
,,,,,,,,,,
f4,d10,0.5,4.64E-05,+,,f4,d30,0.5,5.32E-08,+
f4,d10,0.6,6.25E-06,+,,f4,d30,0.6,3.40E-08,+
f4,d10,0.7,6.87E-07,+,,f4,d30,0.7,6.88E-07,+
f4,d10,0.8,0.001170636,+,,f4,d30,0.8,4.30E-06,+
f4,d10,0.9,0.999948133,=,,f4,d30,0.9,0.000460457,+
f4,d10,1,3.40E-08,+,,f4,d30,1,3.40E-08,+
,,,,,,,,,,
f8,d10,0.5,3.39E-08,+,,f8,d30,0.5,3.40E-08,+
f8,d10,0.6,3.39E-08,+,,f8,d30,0.6,3.40E-08,+
f8,d10,0.7,0.000105048,+,,f8,d30,0.7,3.40E-08,+
f8,d10,0.8,0.18964361,=,,f8,d30,0.8,3.95E-08,+
f8,d10,0.9,0.322788173,=,,f8,d30,0.9,1.48E-07,+
f8,d10,1,3.39E-08,+,,f8,d30,1,1.11E-07,+
,,,,,,,,,,
f13,d10,0.5,3.38E-08,+,,f13,d30,0.5,3.40E-08,+
f13,d10,0.6,3.37E-08,+,,f13,d30,0.6,3.40E-08,+
f13,d10,0.7,6.51E-08,+,,f13,d30,0.7,5.32E-08,+
f13,d10,0.8,2.25E-06,+,,f13,d30,0.8,3.39E-08,+
f13,d10,0.9,7.30E-07,+,,f13,d30,0.9,5.24E-07,+
f13,d10,1,1.14E-05,+,,f13,d30,1,1.70E-07,+
,,,,,,,,,,
f15,d10,0.5,0.39859871,=,,f15,d30,0.5,3.39E-08,+
f15,d10,0.6,6.12E-05,+,,f15,d30,0.6,3.39E-08,+
f15,d10,0.7,4.64E-05,+,,f15,d30,0.7,3.94E-08,+
f15,d10,0.8,7.87E-07,+,,f15,d30,0.8,3.46E-07,+
f15,d10,0.9,9.99E-05,+,,f15,d30,0.9,1.11E-07,+
f15,d10,1,1.03E-06,+,,f15,d30,1,3.40E-08,+
