Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.9852795577939586
f1,d10,0.60,0.011951572933779202
f1,d10,0.70,3.397807564086679e-08
f1,d10,0.80,3.397807564086679e-08
f1,d10,0.90,6.880308194350132e-07
f1,d10,1.00,0.1308082339392887
f1,d30,0.50,0.9999001466624817
f1,d30,0.60,0.042927439975205185
f1,d30,0.70,3.397807564086679e-08
f1,d30,0.80,3.397807564086679e-08
f1,d30,0.90,3.397807564086679e-08
f1,d30,1.00,2.9479586089607507e-05
f2,d10,0.50,0.8933169042594173
f2,d10,0.60,0.6221285861820453
f2,d10,0.70,0.018015448230764983
f2,d10,0.80,0.9964459446720171
f2,d10,0.90,0.9971031883122504
f2,d10,1.00,3.397807564086679e-08
f2,d30,0.50,0.8139896849051155
f2,d30,0.60,0.29893128371450395
f2,d30,0.70,0.6525544900661168
f2,d30,0.80,0.34744550993388323
f2,d30,0.90,0.058326444362709826
f2,d30,1.00,3.397807564086679e-08
f4,d10,0.50,0.9997454635409607
f4,d10,0.60,0.9367846913166159
f4,d10,0.70,0.6723268409286389
f4,d10,0.80,3.38823691698822e-08
f4,d10,0.90,3.905114828712665e-08
f4,d10,1.00,1.2134961141514661e-08
f4,d30,0.50,0.866307701209513
f4,d30,0.60,0.14883837723609017
f4,d30,0.70,0.7548328677452447
f4,d30,0.80,3.397807564086679e-08
f4,d30,0.90,3.397807564086679e-08
f4,d30,1.00,3.397807564086679e-08
f8,d10,0.50,0.9997185482200529
f8,d10,0.60,0.001983119320111959
f8,d10,0.70,3.373924868679945e-08
f8,d10,0.80,3.9490168333373314e-08
f8,d10,0.90,2.0794238796548678e-05
f8,d10,1.00,1.962026995906862e-07
f8,d30,0.50,0.99428358534578
f8,d30,0.60,0.006660258011799982
f8,d30,0.70,3.3930193083693134e-08
f8,d30,0.80,2.6134426613428786e-07
f8,d30,0.90,2.2694860940934735e-07
f8,d30,1.00,2.0811514684586906e-05
f13,d10,0.50,0.9952986181238707
f13,d10,0.60,0.12228392260571308
f13,d10,0.70,3.215356439450812e-08
f13,d10,0.80,1.0644579201042926e-07
f13,d10,0.90,5.57294878297192e-08
f13,d10,1.00,4.3085755707040276e-08
f13,d30,0.50,0.9988293636962532
f13,d30,0.60,0.44086264241308315
f13,d30,0.70,4.003272516972358e-09
f13,d30,0.80,3.1073642914923706e-08
f13,d30,0.90,3.345458297879516e-08
f13,d30,1.00,3.383460383922705e-08
f15,d10,0.50,0.6014012903654127
f15,d10,0.60,0.9570799117412421
f15,d10,0.70,5.795057073386002e-05
f15,d10,0.80,0.003412519668661701
f15,d10,0.90,0.13662005934873067
f15,d10,1.00,0.00011079889333722472
f15,d30,0.50,0.9999791711982436
f15,d30,0.60,0.0032773327444805492
f15,d30,0.70,3.397807564086679e-08
f15,d30,0.80,1.4798768668378375e-07
f15,d30,0.90,6.164810647176969e-08
f15,d30,1.00,3.788690529863132e-06
