Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.015758551037280785
f1,d10,0.60,0.9888650443450935
f1,d10,0.70,0.9999999707854003
f1,d10,0.80,0.9999999707854003
f1,d10,0.90,0.9999993995559031
f1,d10,1.00,0.8748516012482441
f1,d30,0.50,0.00011110131006840324
f1,d30,0.60,0.9594841253790745
f1,d30,0.70,0.9999999707854003
f1,d30,0.80,0.9999999707854003
f1,d30,0.90,0.9999999707854003
f1,d30,1.00,0.9999737252299291
f2,d10,0.50,0.11174293530337481
f2,d10,0.60,0.38819525277525657
f2,d10,0.70,0.9831495033322035
f2,d10,0.80,0.003853037664856622
f2,d10,0.90,0.0031457695981481565
f2,d10,1.00,0.9999999707854003
f2,d30,0.50,0.19334285941164336
f2,d30,0.60,0.7103908238432916
f2,d30,0.70,0.35748994073279916
f2,d30,0.80,0.6624929216747558
f2,d30,0.90,0.9447589651415692
f2,d30,1.00,0.9999999707854003
f4,d10,0.50,0.00028145177994706375
f4,d10,0.60,0.06664158537465995
f4,d10,0.70,0.33749989245894085
f4,d10,0.80,0.9999999708684908
f4,d10,0.90,0.9999999664033462
f4,d10,1.00,0.999999989670609
f4,d30,0.50,0.13961419684118598
f4,d30,0.60,0.857347642046156
f4,d30,0.70,0.253752648980956
f4,d30,0.80,0.9999999707854003
f4,d30,0.90,0.9999999707854003
f4,d30,1.00,0.9999999707854003
f8,d10,0.50,0.0003109987933734979
f8,d10,0.60,0.9981805868876876
f8,d10,0.70,0.9999999709927411
f8,d10,0.80,0.9999999660219243
f8,d10,0.90,0.9999815055488903
f8,d10,1.00,0.9999998298674129
f8,d30,0.50,0.006172372879308558
f8,d30,0.60,0.9938276271206914
f8,d30,0.70,0.9999999708269713
f8,d30,0.80,0.9999997730513905
f8,d30,0.90,0.9999998030597264
f8,d30,1.00,0.9999814899896362
f13,d10,0.50,0.005084932233111414
f13,d10,0.60,0.8831156202245785
f13,d10,0.70,0.9999999723690063
f13,d10,0.80,0.9999999081716222
f13,d10,0.90,0.9999999520142813
f13,d10,1.00,0.9999999629246853
f13,d30,0.50,0.0012803076435722936
f13,d30,0.60,0.5697877529617116
f13,d30,0.70,0.9999999966291273
f13,d30,0.80,0.9999999733059277
f13,d30,0.90,0.9999999712398586
f13,d30,1.00,0.999999970909959
f15,d10,0.50,0.40907473069409994
f15,d10,0.60,0.04544611430065165
f15,d10,0.70,0.9999481329963692
f15,d10,0.80,0.9968554540532886
f15,d10,0.90,0.8692141408963034
f15,d10,1.00,0.9999004222327256
f15,d30,0.50,2.3402016193169243e-05
f15,d30,0.60,0.9969810204829029
f15,d30,0.70,0.9999999707854003
f15,d30,0.80,0.9999998718527068
f15,d30,0.90,0.99999994684439
f15,d30,1.00,0.9999966631742848
